FID,the_geom,id,osm_id,name,type,ref
osm_transport_points.1,POINT (90.41493897178674 23.81878597807713),1,98767720,,motorway_junction,
osm_transport_points.2,POINT (90.42713078522877 23.725071774369525),2,123035061,,level_crossing,
osm_transport_points.3,POINT (89.90784958776709 26.14079812742176),3,245743983,Rupsi,aerodrome,
osm_transport_points.4,POINT (88.37110467059341 22.56796605070093),4,252584722,Sealdah,station,SDAH
osm_transport_points.5,POINT (90.42127795369976 23.809396486323124),5,257504393,নর্দা বাস স্টপ,bus_stop,
osm_transport_points.6,POINT (88.29072909232002 22.677976937291703),6,252584717,Dankuni,station,DKAE
osm_transport_points.7,POINT (90.46971144008342 23.93485664538622),7,262298513,,level_crossing,
osm_transport_points.8,POINT (88.5789872686849 23.190432499542055),8,310989169,,level_crossing,
osm_transport_points.9,POINT (88.37797908848114 22.91015255389388),9,310990455,,level_crossing,
osm_transport_points.10,POINT (88.39823647207089 22.990342473011992),10,310990693,Tribeni,station,TBAE
osm_transport_points.11,POINT (88.30977151904477 23.053088059064407),11,310991307,,level_crossing,
osm_transport_points.12,POINT (88.2762375361043 23.067909359350978),12,310991318,,level_crossing,
osm_transport_points.13,POINT (88.26965028221923 23.070636998281685),13,310991322,Pandooah,station,
osm_transport_points.14,POINT (88.37458425005781 22.74112602816291),14,310988176,Titagarh,station,TGH
osm_transport_points.15,POINT (90.41271768362674 23.749650448140386),15,267094076,মালিবাগ রেল গেট,level_crossing,
osm_transport_points.16,POINT (88.37902908949172 22.95492935119904),16,310991487,Adi Saptagram,station,ADST
osm_transport_points.17,POINT (88.32443012659076 22.779266621268505),17,310992925,,level_crossing,
osm_transport_points.18,POINT (88.41765306695333 22.88700609591828),18,310989031,Naihati Junction,station,NH
osm_transport_points.19,POINT (89.73350549884378 24.396045554161248),19,306469779,Bangabandhu Bridge West Railway বঙ্গবন্ধু সেতু পশ্চিম রেলওয়ে,station,
osm_transport_points.20,POINT (88.38018922870998 22.828516337383178),20,310988205,Shyamnagar,station,SNR
osm_transport_points.21,POINT (88.44481127142586 22.934711865468387),21,310989046,Kanchrapara Workshop Gate,station,
osm_transport_points.22,POINT (88.3813738430855 22.830585494000587),22,310989012,,level_crossing,
osm_transport_points.23,POINT (88.37410514047241 22.743739170296266),23,310988177,,level_crossing,
osm_transport_points.24,POINT (89.82009206736876 24.389510770990086),24,306469787,Bangabandhu Setu East,station,
osm_transport_points.25,POINT (88.40557667231803 22.866764721763587),25,310989028,Kankinara,station,
osm_transport_points.26,POINT (88.43702154971152 22.920982391889225),26,310989041,Halisahar,station,HLR
osm_transport_points.27,POINT (88.37716344548335 22.72707427040669),27,310988174,,crossing,
osm_transport_points.28,POINT (88.3802379275674 22.948309240253565),28,310991484,,level_crossing,
osm_transport_points.29,POINT (88.26367306324721 22.80464048619342),29,310992938,Nasibpur,station,NSF
osm_transport_points.30,POINT (88.34114573699452 22.667045845906017),30,310993110,Uttarpara,station,
osm_transport_points.31,POINT (88.11436722784578 22.831496690694593),31,310992961,,level_crossing,
osm_transport_points.32,POINT (88.31709344674294 22.661206425422137),32,310993221,Belanagar,station,BZL
osm_transport_points.33,POINT (88.09867756239044 23.0508707942179),33,310994548,,level_crossing,
osm_transport_points.34,POINT (88.3331700208488 22.763900078180484),34,310993128,,level_crossing,
osm_transport_points.35,POINT (88.10807728006631 23.031781428835387),35,310994551,,level_crossing,
